,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
19,FearlessTrader,@crizcross99,2019-01-10T21:36:43.000Z,Stock pick $DD $PGOLD $ALCO $MRC $FDC $IMI $SLI $MAH $PIZZA $ABA $WLCON $CHP $BLOOM $SPC $HOUSE,Stock pick $DD $PGOLD $ALCO $MRC $FDC $IMI $SLI $MAH $PIZZA $ABA $WLCON $CHP $BLOOM $SPC $HOUSE,,,,,[],https://twitter.com/crizcross99/status/1083477763749699584
20,TraderJun,@RayMichaelJunia,2019-01-10T02:03:08.000Z,"Here I go again, confused  between $DD and $WIN to position. I’ll wait til 2pm that’s my time to buy. #gotVWAP #traderlifeph #eatsleeptrade #dailygrind","Here I go again, confused  between $DD and $WIN to position. I’ll wait til 2pm that’s my time to buy. #gotVWAP #traderlifeph #eatsleeptrade #dailygrind",,,,,[],https://twitter.com/RayMichaelJunia/status/1083182420529049600
21,TraderJun,@RayMichaelJunia,2019-01-10T00:29:38.000Z,"The two caught my attention, $DD and $FB, looks like #eruption but have to check the price movement if it can do big moves. #notareco #tayor #eatsleeptrade #dailygrind","The two caught my attention, $DD and $FB, looks like #eruption but have to check the price movement if it can do big moves. #notareco #tayor #eatsleeptrade #dailygrind",,,,,[],https://twitter.com/RayMichaelJunia/status/1083158891402211329
22,Joseph Daniel,@arnelmb777,2019-01-10T02:14:47.000Z,$DD DoubleDragon partners with Chickenjoy supplier for industrial hubs https://news.abs-cbn.com/business/01/09/19/doubledragon-partners-with-chickenjoy-supplier-for-industrial-hubs…,$DD DoubleDragon partners with Chickenjoy supplier for industrial hubs https://news.abs-cbn.com/business/01/09/19/doubledragon-partners-with-chickenjoy-supplier-for-industrial-hubs…,,,,,[],https://twitter.com/arnelmb777/status/1083185352997691392
23,2TradeAsia,@2TradeAsia,2019-01-10T00:28:19.000Z,"$DD’s industrial leasing unit, CentralHub Industrial Centers, Inc. (CentralHub), formed a strategic tie-up with global food & agriculture firm Cargill via C-Joy Poulty Meats, its Phil. unit","$DD’s industrial leasing unit, CentralHub Industrial Centers, Inc. (CentralHub), formed a strategic tie-up with global food & agriculture firm Cargill via C-Joy Poulty Meats, its Phil. unit",,,,,[],https://twitter.com/2TradeAsia/status/1083158561922793473
24,ProfessorKev,@professorkev,2019-01-11T00:38:25.000Z,"Replying to 
@PipsToDollars","Replying to 
@PipsToDollars
WAit until Dunkin’ Donuts starts selling cannabis coffee and cannabis glazed donuts!  $dd
1",,,,1,[],https://twitter.com/professorkev/status/1083523489091469312
25,pau,@paubengero,2019-01-13T04:29:17.000Z,"If you can stalk and look for trade entries on the following leaders, you might have a good chance of improving your returns during the first few weeks of trading... $PLC $BLOOM $PGOLD $NOW $WEB $DD $RLC $IMI $PIZZA $PX","If you can stalk and look for trade entries on the following leaders, you might have a good chance of improving your returns during the first few weeks of trading... $PLC $BLOOM $PGOLD $NOW $WEB $DD $RLC $IMI $PIZZA $PX
1
1",,1,,1,[],https://twitter.com/paubengero/status/1084306366498361344
26,2TradeAsia,@2TradeAsia,2019-01-15T00:26:05.000Z,"$DD’s commercial leasing unit Citymall Commercial Centers, Inc. (CityMall) signed a MOA with World Wide Fund for Nature (WWF) Philippines to promote renewable energy use","$DD’s commercial leasing unit Citymall Commercial Centers, Inc. (CityMall) signed a MOA with World Wide Fund for Nature (WWF) Philippines to promote renewable energy use
4",,,,4,[],https://twitter.com/2TradeAsia/status/1084969938442309633
27,2TradeAsia,@2TradeAsia,2019-01-14T00:27:41.000Z,"Good morning, 2Traders! 
Here are the relevant business headlines you need to know for today 

CORPORATE NEWS
  $DD plans to list all 4 major units under REIT scenario.  The units are involved in provincial retail leasing, office lease, hotels &... http://2tradeasia.com","Good morning, 2Traders! 
Here are the relevant business headlines you need to know for today 

CORPORATE NEWS
  $DD plans to list all 4 major units under REIT scenario.  The units are involved in provincial retail leasing, office lease, hotels &... http://2tradeasia.com
3",☕ 📰 ▪,,,3,[],https://twitter.com/2TradeAsia/status/1084607951502012419
28,Timson Trade,@TimsonTrade,2019-01-15T01:21:04.000Z,$DD: CityMalls partners with WWF-Philippines,"$DD: CityMalls partners with WWF-Philippines
bworldonline.com
CityMalls partners with WWF-Philippines - BusinessWorld Online
CITYMALL Commercial Centers, Inc. (CityMall) teamed up with the World Wide Fund for Nature (WWF) Philippines to support the latter’s renewable energy efforts.",,,,,[],https://twitter.com/TimsonTrade/status/1084983775568646144
29,2TradeAsia,@2TradeAsia,2019-01-14T00:28:33.000Z,"$DD plans to list all 4 major units under REIT scenario.  The units are involved in provincial retail leasing, office lease, hotels & industrial warehouses","$DD plans to list all 4 major units under REIT scenario.  The units are involved in provincial retail leasing, office lease, hotels & industrial warehouses
1",,,,1,[],https://twitter.com/2TradeAsia/status/1084608171069472770
30,Grit Trader,@TraderGrit,2019-01-16T04:47:59.000Z,$APC gap up. $DD slow but sure,$APC gap up. $DD slow but sure,,,,,[],https://twitter.com/TraderGrit/status/1085398235555004418
31,Chart Archer,@ChartArcher,2019-01-17T01:10:21.000Z,"Selected Issue/s: 01/17/2019  

$ABA $APL $CEI $FOOD 
$ATN $IMI $PHA $VUL $DNL 
$PHR $IRC $PCOR $DMW 
$CLC $FNI $DD $BCOR $LR 
$IDC $FDC $ACR $PERC $ORE

$ATI $FGEN $COSCO $DAVIN 
$MWC $TBGI $RLC $MRC $APL $CYBR

#FailingToPlan #PlanningToFail
#ExecuteWell #HeartlessExecution","Selected Issue/s: 01/17/2019  

$ABA $APL $CEI $FOOD 
$ATN $IMI $PHA $VUL $DNL 
$PHR $IRC $PCOR $DMW 
$CLC $FNI $DD $BCOR $LR 
$IDC $FDC $ACR $PERC $ORE

$ATI $FGEN $COSCO $DAVIN 
$MWC $TBGI $RLC $MRC $APL $CYBR

#FailingToPlan #PlanningToFail
#ExecuteWell #HeartlessExecution",,,,,[],https://twitter.com/ChartArcher/status/1085705853959790599
