,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
877,SIAnalystWire,@AnalystWire,2019-02-28T12:50:55.000Z,Chevron $CVX PT Cut At Cowen Ahead Of Analyst Day http://streetinsider.com/r/15193895,"Chevron $CVX PT Cut At Cowen Ahead Of Analyst Day http://streetinsider.com/r/15193895
1",,,,1,[],https://twitter.com/AnalystWire/status/1101102448557649922
878,FirstToMarkets,@firsttomarkets,2019-02-28T12:16:42.000Z,Chevron Corp  Reiterated Rating by Cowen & Co (Ranked 48th) to Outperform with $140PT $CVX #CVX http://firsttomarkets.com/FTMMobile/#/stock/104…,Chevron Corp  Reiterated Rating by Cowen & Co (Ranked 48th) to Outperform with $140PT $CVX #CVX http://firsttomarkets.com/FTMMobile/#/stock/104…,,,,,[],https://twitter.com/firsttomarkets/status/1101093835726176261
879,FirstToMarkets,@firsttomarkets,2019-03-01T15:16:57.000Z,Chevron Corp  Initiated Coverage by Tudor Pickering (Ranked 86th) to Buy with $133PT $CVX #CVX http://firsttomarkets.com/FTMMobile/#/stock/104…,Chevron Corp  Initiated Coverage by Tudor Pickering (Ranked 86th) to Buy with $133PT $CVX #CVX http://firsttomarkets.com/FTMMobile/#/stock/104…,,,,,[],https://twitter.com/firsttomarkets/status/1101501586134642689
880,The Fly,@theflynews,2019-03-01T15:29:03.000Z,Fly Intel: Top five analyst initiations $GIII $MRKR $CVX $AMTB $THG,"Fly Intel: Top five analyst initiations $GIII $MRKR $CVX $AMTB $THG
thefly.com
Fly Intel: Top five analyst initiations
Catch up on today's ... GIII, MRKR, CVX, AMTB, THG
1",,,1,,['https://pbs.twimg.com/card_img/1499014418260185092/Ph1lKcPj?format=jpg&name=small'],https://twitter.com/theflynews/status/1101504628510777344
881,shortvolumes,@shortvolumes,2019-03-01T16:36:01.000Z,Short sale volume (not short interest) for $BP at 2019-02-28 is 45%. http://shortvolumes.com/?t=BP $CVX 35% $TOT 55% $XOM 58%,Short sale volume (not short interest) for $BP at 2019-02-28 is 45%. http://shortvolumes.com/?t=BP $CVX 35% $TOT 55% $XOM 58%,,,,,[],https://twitter.com/shortvolumes/status/1101521484336562176
882,SwingTradeBot,@SwingTradeBot,2019-02-28T15:20:51.000Z,200 DMA Support today: $GWR $NRIM $GPRO $CVX $USLV $VCR $BBBY $PSEC $PCI ...,"200 DMA Support today: $GWR $NRIM $GPRO $CVX $USLV $VCR $BBBY $PSEC $PCI ...
swingtradebot.com
200 DMA Support Intraday Alerts
Intraday technical analysis stock signals. This screener / scanner finds intraday stock movers making significant technical moves.",,,,,['https://pbs.twimg.com/card_img/1500085508197675011/1Bp4ewjv?format=jpg&name=small'],https://twitter.com/SwingTradeBot/status/1101140180969443328
883,ChartMill,@ChartMill,2019-02-27T18:37:08.000Z,"The technical breakout setup screen lists $VFC, $CVX and $RDN today. https://chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,atr_a1,ta_7,se_7,p_pg20&s=37&v=9&sid=202&utm_source=twitterUS&utm_medium=screener&utm_content=Stock_Screener:_Technical_Breakout_Setups&utm_campaign=social_tracking…","The technical breakout setup screen lists $VFC, $CVX and $RDN today. https://chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,atr_a1,ta_7,se_7,p_pg20&s=37&v=9&sid=202&utm_source=twitterUS&utm_medium=screener&utm_content=Stock_Screener:_Technical_Breakout_Setups&utm_campaign=social_tracking…",,,,,[],https://twitter.com/ChartMill/status/1100827188344094720
884,Briefing.com,@Briefingcom,2019-03-01T16:03:00.000Z,See the latest #broker #ratings changes http://bit.ly/1eLLpAY $KHC $SRCL $JD $CULP $NTOIF $BFIN $IMGN $VSM $XON $AMTB $OPGN $APTO $CVX $MRKR $PAAS $HL $NTNX $ADSK $ALRM $WDAY $SPLK,See the latest #broker #ratings changes http://bit.ly/1eLLpAY $KHC $SRCL $JD $CULP $NTOIF $BFIN $IMGN $VSM $XON $AMTB $OPGN $APTO $CVX $MRKR $PAAS $HL $NTNX $ADSK $ALRM $WDAY $SPLK,,,,,[],https://twitter.com/Briefingcom/status/1101513173662724097
885,Chameleon,@MarketChmln,2019-03-01T21:35:24.000Z,Largest $Notional Buy On Close Order Imbalances $PFE $VZ $XOM $GE $CVX $CMI $JNJ $ET $JPM $PNC https://marketchameleon.com/Reports/StockOrderImbalanceReport/…,Largest $Notional Buy On Close Order Imbalances $PFE $VZ $XOM $GE $CVX $CMI $JNJ $ET $JPM $PNC https://marketchameleon.com/Reports/StockOrderImbalanceReport/…,🦎,,,,[],https://twitter.com/MarketChmln/status/1101596824941592577
886,Top Stock Alerts,@TopStockAlerts1,2019-02-28T21:12:38.000Z,"4 Oil and Gas Stocks That Are In Breakout Position

$CVX $XOM $HES $EOG","4 Oil and Gas Stocks That Are In Breakout Position

$CVX $XOM $HES $EOG
investorplace.com
4 Oil and Gas Stocks That Are In Breakout Position
These oil stocks are leading a strong move in the energy sector amid a bustling news day. Here are four oil and gas stocks to watch!",,,,,[],https://twitter.com/TopStockAlerts1/status/1101228707123990528
887,SwingTradeBot,@SwingTradeBot,2019-03-01T15:03:32.000Z,Rose Above Upper Bollinger Band today: $RP $CBAY $MIXT $HACK $MO $PGX $CVX $KR $RDFN $PST $MYT $C $NH $ERI $DGLY $SHOP $V $IBUY $RJF $ULTA ...,"Rose Above Upper Bollinger Band today: $RP $CBAY $MIXT $HACK $MO $PGX $CVX $KR $RDFN $PST $MYT $C $NH $ERI $DGLY $SHOP $V $IBUY $RJF $ULTA ...
swingtradebot.com
Rose Above Upper Bollinger Band Intraday Alerts
Intraday technical analysis stock signals. This screener / scanner finds intraday stock movers making significant technical moves.",,,,,['https://pbs.twimg.com/card_img/1500736240479576065/PvjTJ7L9?format=jpg&name=small'],https://twitter.com/SwingTradeBot/status/1101498209267003397
888,Ryan Mallory,@SharePlanner,2019-02-27T09:10:08.000Z,"Podcast: Keep your emotions under control! Here what you need to know, in order to do that. 

$CVX $UNH $CSCO $HD $AMD http://bit.ly/2KDlAH0","Podcast: Keep your emotions under control! Here what you need to know, in order to do that. 

$CVX $UNH $CSCO $HD $AMD http://bit.ly/2KDlAH0",,,,,[],https://twitter.com/SharePlanner/status/1100684496368738304
889,Community Financial,@CFinancialNews,2019-02-28T17:40:49.000Z,Chevron’s $CVX Outperform Rating Reiterated at Cowen http://americanbankingnews.com/?p=9670196 #markets,Chevron’s $CVX Outperform Rating Reiterated at Cowen http://americanbankingnews.com/?p=9670196 #markets,,,,,[],https://twitter.com/CFinancialNews/status/1101175403169894401
890,shortvolumes,@shortvolumes,2019-03-01T23:00:02.000Z,2019-02-28 Short sale volume (not short interest) for $CVX is 35%. http://shortvolumes.com/?t=CVX $COP 27% $RDS.A 60% $BP 45% $XOM 58%,2019-02-28 Short sale volume (not short interest) for $CVX is 35%. http://shortvolumes.com/?t=CVX $COP 27% $RDS.A 60% $BP 45% $XOM 58%,,,,,[],https://twitter.com/shortvolumes/status/1101618123281711114
