,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
3532,TT,@tradetb,2018-08-17T20:52:55.000Z,"$BA settled at 346.40, up +0.12% for the day. It had a touch 'n go from the 200DMA, and bounced back inside the ascending triangle. It conveniently got an upgrade from UBS which drove most of the bounce I suspect. I'm still not fully convinced of the bounce yet. I remain long.","$BA settled at 346.40, up +0.12% for the day. It had a touch 'n go from the 200DMA, and bounced back inside the ascending triangle. It conveniently got an upgrade from UBS which drove most of the bounce I suspect. I'm still not fully convinced of the bounce yet. I remain long.
1
1",,1,,1,['https://pbs.twimg.com/media/Dk1GQcuWwAAK8sU?format=jpg&name=small'],https://twitter.com/tradetb/status/1030558111126446082
3533,Justin Pulitzer,@JustinPulitzer,2018-08-18T10:19:30.000Z," Weekend Review VIDEO 8/19: https://vimeo.com/ondemand/jptrades/285596856…

$SPY $IWM $QQQ $FXI $BABA $IQ $TCEHY $XLI $BA $LMT $TOL $WMT $M $JWN $LLY $MRK $PFE $TLT $UUP $GLD $GDX $XLF $C $JPM $CL_F $XOM $SMH $INTC $NVDA $AMAT $CSCO $AAPL $AMZN $MSFT $GOOGL $FB $TWTR $BKNG $TSLA $CMG $ZG $ATVI"," Weekend Review VIDEO 8/19: https://vimeo.com/ondemand/jptrades/285596856…

$SPY $IWM $QQQ $FXI $BABA $IQ $TCEHY $XLI $BA $LMT $TOL $WMT $M $JWN $LLY $MRK $PFE $TLT $UUP $GLD $GDX $XLF $C $JPM $CL_F $XOM $SMH $INTC $NVDA $AMAT $CSCO $AAPL $AMZN $MSFT $GOOGL $FB $TWTR $BKNG $TSLA $CMG $ZG $ATVI
vimeo.com
Watch Justin Pulitzer Trades Online | Vimeo On Demand
Monthly Subscribers have access to ALL of my Weekend Review, Mid Week Review & Special Edition Videos for $69.99/mo. New Subscribers have a 5 day trial period…
6
3
9",🍊 🆕,6,3,9,['https://pbs.twimg.com/card_img/1501024324815572993/F7FQRRef?format=jpg&name=360x360'],https://twitter.com/JustinPulitzer/status/1030761094145630208
3534,Gillian Rich,@GillianRich_,2018-08-17T13:06:41.000Z,"Trump's quarterly report tweet comes after he recently hosted a number of top company leaders while on vacation in Bedminster, NJ, including the heads of Apple, Fiat Chrysle, Boeing, FedEx, and Honeywell. $AAPL $BA $FDX $HON","Trump's quarterly report tweet comes after he recently hosted a number of top company leaders while on vacation in Bedminster, NJ, including the heads of Apple, Fiat Chrysle, Boeing, FedEx, and Honeywell. $AAPL $BA $FDX $HON
reuters.com
Trump backs CEOs, proposes easing corporate reporting rules
U.S. President Donald Trump asked securities regulators to explore replacing quarterly reporting requirements with half-yearly filings at the urging of executives including PepsiCo Chief Executive...",,,,,['https://pbs.twimg.com/card_img/1499779230313639938/SOJF6vEB?format=jpg&name=small'],https://twitter.com/GillianRich_/status/1030440782094852096
3535,ZoZoTrader,@ZoZoStockwatch,2018-08-19T22:57:39.000Z,$AMD $BA $BBOX $CGC $CNET $CRON $CVM $CROX $IQ $GSM $RWLK $SAIL $SONO $WMIH $SPY $SFIX $KWEB Day Trading Swing Trading Stock Watch Trade Ideas 8/20 https://youtu.be/NyJ-AUrm1sE,"$AMD $BA $BBOX $CGC $CNET $CRON $CVM $CROX $IQ $GSM $RWLK $SAIL $SONO $WMIH $SPY $SFIX $KWEB Day Trading Swing Trading Stock Watch Trade Ideas 8/20 https://youtu.be/NyJ-AUrm1sE
5",,,,5,['https://pbs.twimg.com/media/Dk_23cmV4AAfnmG?format=jpg&name=360x360'],https://twitter.com/ZoZoStockwatch/status/1031314279331450881
3536,Casey Watson,@dcasey800,2018-08-17T00:32:51.000Z,"Made $750 today on $CMG,$NFLX, and $FB puts, $BA calls.
Thank you for the guidance 
@AjAwesomecalls
 @Stock_Hunter89","Made $750 today on $CMG,$NFLX, and $FB puts, $BA calls.
Thank you for the guidance 
@AjAwesomecalls
 @Stock_Hunter89
1
8",,1,,8,[],https://twitter.com/dcasey800/status/1030251071732559877
3537,Timothy Reazor,@TJReazor,2018-08-18T12:19:06.000Z,"#StockNerds I created a short video detailing the $VIX buy signal, the path of least resistance for #gold #oil, which indices are about to breakout & which stocks should be on your watchlist & what dumpster s you should avoid https://revereasset.com/newsletter/videos/your-investing-blueprint-for-the-4th-week-of-august-2018-a-watchlist-to-study-for-stocknerds/… $TSLA $AMZN $NFLX $BA $AAPL","#StockNerds I created a short video detailing the $VIX buy signal, the path of least resistance for #gold #oil, which indices are about to breakout & which stocks should be on your watchlist & what dumpster s you should avoid https://revereasset.com/newsletter/videos/your-investing-blueprint-for-the-4th-week-of-august-2018-a-watchlist-to-study-for-stocknerds/… $TSLA $AMZN $NFLX $BA $AAPL
1
1",🔥,,1,1,['https://pbs.twimg.com/media/Dk4bH9mUwAAZnFK?format=jpg&name=small'],https://twitter.com/TJReazor/status/1030791195943944193
3538,Walker,@jewalker_nuke,2018-08-17T20:31:04.000Z,Positions [08/17/2018] High/Low $BA $AMZN $AAPL $ISRG $NVDA $RTN $AVGO $NFLX $MCD $FB $PYPL $DBX $GM Cash 16.50% Exited $VRTX Pending Exit $DBX Pending Reduce $NFLX Hold $NVDA (cost per share $133.00). Hold $BA (cost per share $156.20) until hell freezes over.,Positions [08/17/2018] High/Low $BA $AMZN $AAPL $ISRG $NVDA $RTN $AVGO $NFLX $MCD $FB $PYPL $DBX $GM Cash 16.50% Exited $VRTX Pending Exit $DBX Pending Reduce $NFLX Hold $NVDA (cost per share $133.00). Hold $BA (cost per share $156.20) until hell freezes over.,,,,,[],https://twitter.com/jewalker_nuke/status/1030552615757574144
3539,TWJ ELITE,@twj_elite,2018-08-18T17:15:19.000Z,I will give you details. Please look at $VXX puts that I got 10 DM's when it dropped 50%. Look @ where it closed. Look at the $BA call trade. See how far it dropped then ripped. Look at $GS calls.,"I will give you details. Please look at $VXX puts that I got 10 DM's when it dropped 50%. Look @ where it closed. Look at the $BA call trade. See how far it dropped then ripped. Look at $GS calls.
jeffz
@jzhao112
 · 16 Aug 2018
Replying to @twj_elite
30% stops? I remember you said ""I hate using stops"". Is this ""30% stops"" the hard rule for 100k challenge going forward?
2
1",,2,,1,['https://pbs.twimg.com/profile_images/1036710768505507840/XqocCoKh_mini.jpg'],https://twitter.com/twj_elite/status/1030865738611994624
3540,Clark Joseph Kent,@JorelLaraKalel,2018-08-17T13:46:07.000Z,"Dow stock Boeing is surging, and some traders expect even more gains $BA 
@boeing
 @tradingnation
 @cnbc","Dow stock Boeing is surging, and some traders expect even more gains $BA 
@boeing
 @tradingnation
 @cnbc
cnbc.com
Dow stock Boeing is surging, and some traders expect even more gains
Boeing shares have left the runway. Shares of the aerospace giant climbed 4 percent Thursday on the heels of a bullish UBS call, resuming a rally that’s seen the company’s stock surge 46 percent in...",,,,,[],https://twitter.com/JorelLaraKalel/status/1030450702726914048
3541,TD Ameritrade Network,@TDANetwork,2018-08-17T19:00:20.000Z,"Speaking of defense stocks, Coach Mike Follett joined #FastMarket today to discuss a #bullish chart pattern on display for Boeing $BA via 
@thinkorswim
.  #TechnicalAnalysis #DescendingTriangle

Watch:","Speaking of defense stocks, Coach Mike Follett joined #FastMarket today to discuss a #bullish chart pattern on display for Boeing $BA via 
@thinkorswim
.  #TechnicalAnalysis #DescendingTriangle

Watch:
2
1",✈,,2,1,['https://pbs.twimg.com/ext_tw_video_thumb/1030529013326860288/pu/img/r9YMTvnJiOUuccD6.jpg'],https://twitter.com/TDANetwork/status/1030529780658126851
