,0
0,4808.677160016494
1,-4689.116922679823
2,3749.133726632688
3,-2743.488638195442
4,955.3090320581105
5,4957.834419303341
6,-4649.544145024847
7,-385.9550916654989
8,-6278.76764804218
9,-5759.187648052815
10,-4006.640175233595
11,-102.88692843960598
12,1688.0466784525197
13,5606.960010737646
14,9934.029389086878
15,5838.092675209977
16,-3925.642925604945
17,-5836.302946586395
18,-5894.384217091603
19,63.20365100190975
20,-4311.771586567396
21,13706.06962930318
22,-2255.680194864981
23,3154.7819371563382
24,-2579.2923457534052
25,10222.682546966476
26,6473.628947448684
27,7559.975842127344
28,8706.366265360033
29,6209.856231098529
30,1373.4931814214215
31,-8043.824023395078
32,11672.591894158395
33,1421.921561368741
34,4809.5255810406525
35,-602.4467960759066
36,6107.920841061743
37,-2859.316557181999
38,18305.47573730885
39,-5608.739355469588
40,-491.84481625421904
41,-2775.6650499065872
42,-1221.954303947743
43,-4314.982319835806
44,-772.367244504625
45,2011.708508975571
46,-299.66050214204006
47,-1322.5834375750273
48,5063.474185247207
49,308.35373901342973
50,-6183.037632667692
51,-6997.741071641445
52,-18344.17555847601
53,-6511.552557331044
54,-1234.111044524936
55,-5134.541882775957
56,-3313.643324876204
57,9814.061825624667
58,-5466.487323419657
59,6526.758868623991
60,-5141.581267409725
61,1135.496544612106
