,0
0,1613838.5623114738
1,1609128.4167976023
2,1611491.049713736
3,1617132.7155379883
4,1616363.20094936
5,1616363.20094936
6,1616363.20094936
7,1616363.20094936
8,1616740.8926136976
9,1615016.0075922844
10,1616238.9526369786
11,1618838.580037682
12,1617067.4966541815
13,1616616.4576631214
14,1616616.4576631214
15,1616616.4576631214
16,1616616.4576631214
17,1616616.4576631214
18,1615193.2862939665
19,1615064.5269193812
20,1612190.7065510857
21,1615547.037362957
22,1614139.8103143359
23,1613798.9916874184
24,1613798.9916874184
25,1613798.9916874184
26,1613798.9916874184
27,1613798.9916874184
28,1613798.9916874184
29,1613798.9916874184
30,1613798.9916874184
31,1613798.9916874184
32,1613798.9916874184
33,1613798.9916874184
34,1613798.9916874184
35,1613798.9916874184
36,1613798.9916874184
37,1613798.9916874184
38,1613798.9916874184
39,1613798.9916874184
40,1613798.9916874184
41,1613798.9916874184
42,1613798.9916874184
43,1613798.9916874184
44,1613798.9916874184
45,1613798.9916874184
46,1613798.9916874184
47,1613798.9916874184
48,1613798.9916874184
49,1613798.9916874184
50,1613798.9916874184
51,1613798.9916874184
52,1613798.9916874184
53,1613798.9916874184
54,1613798.9916874184
55,1613798.9916874184
56,1613798.9916874184
57,1613798.9916874184
58,1613798.9916874184
59,1613798.9916874184
60,1613798.9916874184
61,1613798.9916874184
62,1613798.9916874184
