,0
0,1561162.2908804452
1,1560132.5980898873
2,1560039.56058235
3,1560039.56058235
4,1560039.56058235
5,1560039.56058235
6,1560039.56058235
7,1561104.3331542427
8,1560537.8966137953
9,1564966.6527544635
10,1562965.0993470862
11,1562580.1848041546
12,1562580.1848041546
13,1562580.1848041546
14,1562580.1848041546
15,1562580.1848041546
16,1562580.1848041546
17,1562580.1848041546
18,1562580.1848041546
19,1562580.1848041546
20,1562580.1848041546
21,1562580.1848041546
22,1562580.1848041546
23,1562580.1848041546
24,1562580.1848041546
25,1562580.1848041546
26,1562580.1848041546
27,1562580.1848041546
28,1562580.1848041546
29,1562580.1848041546
30,1562580.1848041546
31,1562580.1848041546
32,1562580.1848041546
33,1562580.1848041546
34,1562580.1848041546
35,1562580.1848041546
36,1562580.1848041546
37,1562580.1848041546
38,1562580.1848041546
39,1562580.1848041546
40,1562580.1848041546
41,1562580.1848041546
42,1562580.1848041546
43,1562580.1848041546
44,1562580.1848041546
45,1562580.1848041546
46,1562580.1848041546
47,1562580.1848041546
48,1562580.1848041546
49,1562580.1848041546
50,1562580.1848041546
51,1562580.1848041546
52,1562580.1848041546
53,1562580.1848041546
54,1562580.1848041546
55,1562580.1848041546
56,1562580.1848041546
57,1568212.4558355487
58,1568106.7385476546
59,1568106.7385476546
60,1568106.7385476546
61,1568106.7385476546
62,1568106.7385476546
