,0
0,1352457.6723852144
1,1366706.7573086738
2,1356061.3272351327
3,1356678.549011663
4,1353520.2374907618
5,1364698.1356652998
6,1374540.6830813836
7,1364706.0360134146
8,1369906.1918860767
9,1343718.8528214828
10,1347094.6516880232
11,1340845.0608132486
12,1349305.5524598109
13,1348605.3210291802
14,1369532.98831718
15,1388176.5094699417
16,1387647.9824399606
17,1398202.4447027058
18,1380137.863153836
19,1362076.2503378205
20,1361736.6270364309
21,1351179.7863835345
22,1369980.3513119703
23,1364448.3812821277
24,1366752.3409726117
25,1359459.7635825588
26,1373953.6326070148
27,1386119.3282486822
28,1407643.4023965942
29,1416305.71550746
30,1429153.6892167309
31,1425038.4402267144
32,1426766.7245405596
33,1428743.3910109862
34,1429582.0481616945
35,1414884.6613031267
36,1408411.7446125655
37,1421283.9455250287
38,1417882.8361383465
39,1454225.04107952
40,1415883.1160174736
41,1424383.6490569175
42,1420343.1420316028
43,1418292.6537031203
44,1399970.4080326003
45,1392407.3904074428
46,1396180.8683513529
47,1398152.3569665884
48,1395412.0861263482
49,1405149.0300127927
50,1402615.7250312911
51,1394956.745201685
52,1404122.8372679728
53,1365168.307524188
54,1366366.662466987
55,1364471.7838047019
56,1363763.120529234
57,1358447.4383283078
58,1378779.8203899087
59,1375068.1732336136
60,1384688.7705472852
61,1373193.9097168876
62,1366999.8843087708
