,0
0,-13098.046559031587
1,6102.533167259535
2,2384.894680320518
3,692.9680976495147
4,8123.781683128793
5,3586.0957965736743
6,8397.46319632046
7,-163.7681035392452
8,-2138.0271859057248
9,9179.026639545104
10,-658.5767457354814
11,-4483.038294958416
12,3428.6645988612436
13,10800.146482719807
14,-3222.586890260922
15,-1997.4841482469346
16,-1358.5009404157754
17,-94.7291954162065
18,1445.1803016718477
19,1888.504610779928
20,-383.4679503280204
21,2194.947659920901
22,766.3369085579179
23,-1853.8723804345354
24,2086.4916446635034
25,-14707.91295809066
26,1731.6388229257427
27,9860.519386560423
28,1029.508991025854
29,784.1120475111529
30,-17814.963333708234
31,-5108.380145698786
32,779.5637093002442
33,12383.567378621781
34,-6852.213414715603
35,-1305.86199228419
36,3205.691317931749
37,839.3550268237013
38,1335.5987608667929
39,4509.623077914119
40,8605.590471453499
41,1618.8229208614212
42,-12130.471315155271
43,4196.13028734969
44,2287.4691629488952
45,-4584.35385761573
46,22116.256774111884
47,8501.32899190439
48,3143.423765555024
49,3040.7399508168455
50,7332.636257057777
51,3602.97489702492
52,3841.394533852581
53,-8521.34222870972
54,-6874.103904473595
55,126.22318749595433
56,1015.4224818260409
57,294.7731910054572
58,-4074.268411274068
59,1667.4295457592234
60,1682.0453986709472
61,6595.960004136199
