,0
0,1000000.0
1,999652.6618121004
2,997120.135020486
3,992085.3036290042
4,989681.8624767929
5,989209.052381035
6,991271.1643280067
7,984339.1753735195
8,991728.2412920762
9,981230.7186905734
10,979718.275058132
11,970669.761659075
12,976999.1465471914
13,982927.2559187696
14,970774.205640709
15,986887.5476264914
16,977737.7536468217
17,984922.3044959267
18,1002529.7533380933
19,1000498.1560017678
20,990750.7956125804
21,1009394.9137121614
22,1014894.3140854972
23,1006409.1269129469
24,1006865.6450249173
25,1005170.817617462
26,997039.9214200892
27,987135.7567829419
28,1006347.6747735539
29,1017334.4154114552
30,1034754.434524065
31,1028344.4010405365
32,1023786.5949209175
33,1037929.6622518266
34,1020941.8669003827
35,1024205.8529043797
36,1036473.5438419186
37,1034837.4841838736
38,1027456.5362832069
39,1051657.8527572588
40,1055704.675200753
41,1058413.6972532163
42,1065787.264794819
43,1066866.0983689113
44,1054531.1477977375
45,1061662.1538465756
46,1062115.5212103138
47,1076417.821883271
48,1070798.4638356846
49,1071498.0996195485
50,1077647.7012109652
51,1092925.6309445223
52,1099662.5789638609
53,1098024.2125347664
54,1093982.7958103619
55,1087683.4969493991
56,1089274.373349428
57,1089390.700950509
58,1090842.3643829166
59,1096227.1785904288
60,1087988.0043871338
61,1095209.189654959
62,1089020.0158483272
