,0
0,1741971.7691254546
1,1741289.6307917736
2,1741164.8964242528
3,1741164.8964242528
4,1741164.8964242528
5,1741164.8964242528
6,1741164.8964242528
7,1741164.8964242528
8,1741164.8964242528
9,1741164.8964242528
10,1741164.8964242528
11,1741164.8964242528
12,1741164.8964242528
13,1741164.8964242528
14,1741164.8964242528
15,1741164.8964242528
16,1741164.8964242528
17,1741164.8964242528
18,1741164.8964242528
19,1741164.8964242528
20,1741164.8964242528
21,1741164.8964242528
22,1741164.8964242528
23,1741164.8964242528
24,1741164.8964242528
25,1741164.8964242528
26,1741164.8964242528
27,1741164.8964242528
28,1741070.4865702724
29,1740932.1117876167
30,1740932.1117876167
31,1740932.1117876167
32,1740932.1117876167
33,1740932.1117876167
34,1740932.1117876167
35,1740932.1117876167
36,1740932.1117876167
37,1740932.1117876167
38,1740932.1117876167
39,1740932.1117876167
40,1740932.1117876167
41,1740932.1117876167
42,1740932.1117876167
43,1740932.1117876167
44,1740932.1117876167
45,1740932.1117876167
46,1740932.1117876167
47,1740932.1117876167
48,1740932.1117876167
49,1740932.1117876167
50,1740932.1117876167
51,1740932.1117876167
52,1740932.1117876167
53,1740932.1117876167
54,1740932.1117876167
55,1740932.1117876167
56,1740932.1117876167
57,1740932.1117876167
58,1740932.1117876167
59,1740932.1117876167
60,1740932.1117876167
61,1740932.1117876167
62,1740932.1117876167
