,0
0,1000000.0
1,999625.147281969
2,996539.8236960765
3,990307.9599956727
4,987738.4272935822
5,987338.9689028736
6,990520.5316330468
7,977191.0296371239
8,987359.2714513221
9,969541.9432778208
10,967236.0539814535
11,954635.8304824567
12,964053.6524979492
13,977600.5702670183
14,963152.6987101625
15,983709.4848426618
16,964806.1124869926
17,973308.1286528714
18,994699.7677687571
19,996199.3670138652
20,983724.8796122579
21,999603.3553845381
22,1003541.2670404935
23,986278.0519044325
24,979925.2254824737
25,980621.3482405217
26,974866.7587376733
27,967470.483252
28,985840.3792123682
29,997940.4822188203
30,1014840.1842197204
31,1011038.5636249873
32,1009564.9112041619
33,1023732.4483589134
34,1007448.8624866043
35,1012410.5910602849
36,1024156.248882957
37,1021195.5290707122
38,1017117.4632987098
39,1041424.2015048335
40,1042214.6351716267
41,1046487.3986022514
42,1051062.9542354662
43,1053103.8957161515
44,1046890.8675752868
45,1054490.563552319
46,1053663.8481635593
47,1068192.4565377526
48,1067751.9957633817
49,1069895.8480180234
50,1079199.4651184126
51,1089745.029159353
52,1092813.4436159097
53,1092869.057666677
54,1090268.509217214
55,1082159.4103154999
56,1085816.011010835
57,1086321.3203771578
58,1092750.8420405104
59,1099452.228238642
60,1098424.9048821256
61,1103902.131663711
62,1097789.349924564
