,0
0,1316159.0129429998
1,1306379.7086800588
2,1311591.4328955188
3,1311588.5680160827
4,1310461.8178609023
5,1318537.4877416925
6,1317860.7579788219
7,1323984.2456264894
8,1324636.3161305273
9,1321243.8593110847
10,1328836.2640892428
11,1326172.3411809714
12,1322584.8824966156
13,1322082.8541063494
14,1335828.079749479
15,1334723.1633302527
16,1336651.3493828406
17,1335314.734312292
18,1335096.4488479942
19,1335269.392645931
20,1335093.846958756
21,1335162.7460448027
22,1335715.7745109575
23,1334773.636287417
24,1334413.367960897
25,1334143.722940416
26,1329292.3838113835
27,1329054.0837827022
28,1333307.0856906164
29,1333660.4197626375
30,1334356.437554954
31,1325492.699929814
32,1322432.8998227136
33,1323836.3790040603
34,1330550.1965551558
35,1328290.5476774874
36,1326736.492955948
37,1328342.664842696
38,1328553.6010311272
39,1334573.3202606502
40,1336159.6684382644
41,1340720.9968222168
42,1342626.780790679
43,1327748.944442482
44,1327228.972525278
45,1326119.7016670327
46,1323612.2145479282
47,1338194.2123685803
48,1341560.6744873868
49,1340762.0818568356
50,1343009.157932703
51,1346404.6888536925
52,1349947.3135595594
53,1350648.2662023692
54,1350218.4396241049
55,1344463.3425605388
56,1340415.659541049
57,1337413.9891815556
58,1341391.9277383478
59,1344865.4786085119
60,1347089.1205009525
61,1347111.7120017544
62,1354884.9569633415
