,0
0,1382925.032709078
1,1404851.591244237
2,1419118.2374725966
3,1417699.1230402156
4,1417699.1230402156
5,1417699.1230402156
6,1417699.1230402156
7,1417699.1230402156
8,1417699.1230402156
9,1417699.1230402156
10,1417699.1230402156
11,1417699.1230402156
12,1417699.1230402156
13,1417699.1230402156
14,1417699.1230402156
15,1417699.1230402156
16,1417699.1230402156
17,1417699.1230402156
18,1417699.1230402156
19,1417699.1230402156
20,1417699.1230402156
21,1417699.1230402156
22,1417699.1230402156
23,1417699.1230402156
24,1417699.1230402156
25,1417699.1230402156
26,1417699.1230402156
27,1417699.1230402156
28,1417699.1230402156
29,1417699.1230402156
30,1417699.1230402156
31,1417699.1230402156
32,1417699.1230402156
33,1417699.1230402156
34,1417699.1230402156
35,1417699.1230402156
36,1417699.1230402156
37,1417699.1230402156
38,1417699.1230402156
39,1417699.1230402156
40,1417699.1230402156
41,1417699.1230402156
42,1417699.1230402156
43,1417699.1230402156
44,1417699.1230402156
45,1417699.1230402156
46,1417699.1230402156
47,1417699.1230402156
48,1417699.1230402156
49,1417699.1230402156
50,1417699.1230402156
51,1416359.3393166524
52,1417364.1423067031
53,1417490.5037116332
54,1408582.1277889512
55,1402868.4751601168
56,1412454.2963360595
57,1407465.755776804
58,1405672.1089790845
59,1412204.9653767378
60,1399057.3370621214
61,1412223.5263508756
62,1415925.832054713
