,0
0,1569754.4456230397
1,1583488.6464029404
2,1592181.690408067
3,1590589.5129213808
4,1590589.5129213808
5,1590589.5129213808
6,1590589.5129213808
7,1590589.5129213808
8,1590589.5129213808
9,1590589.5129213808
10,1590589.5129213808
11,1590589.5129213808
12,1590589.5129213808
13,1590589.5129213808
14,1590589.5129213808
15,1590589.5129213808
16,1590589.5129213808
17,1590589.5129213808
18,1590589.5129213808
19,1590589.5129213808
20,1590589.5129213808
21,1590589.5129213808
22,1590589.5129213808
23,1590589.5129213808
24,1590589.5129213808
25,1590589.5129213808
26,1590589.5129213808
27,1590589.5129213808
28,1590589.5129213808
29,1590589.5129213808
30,1590589.5129213808
31,1590589.5129213808
32,1590589.5129213808
33,1590589.5129213808
34,1590589.5129213808
35,1590589.5129213808
36,1590589.5129213808
37,1590589.5129213808
38,1590589.5129213808
39,1590589.5129213808
40,1590589.5129213808
41,1590589.5129213808
42,1590589.5129213808
43,1590589.5129213808
44,1590589.5129213808
45,1590589.5129213808
46,1590589.5129213808
47,1590589.5129213808
48,1590589.5129213808
49,1590589.5129213808
50,1590589.5129213808
51,1588638.3702748553
52,1589374.4443093506
53,1588104.8392778167
54,1573332.8569122977
55,1560015.4835985638
56,1582884.4067621827
57,1569786.672873167
58,1569175.4383506905
59,1578905.290030988
60,1553312.4908901702
61,1577580.155663093
62,1598120.385483086
