,0
0,1552170.460886019
1,1551248.65458161
2,1551111.5624550793
3,1551111.5624550793
4,1551111.5624550793
5,1551111.5624550793
6,1551111.5624550793
7,1553512.3106666843
8,1551988.6984421685
9,1562154.3269085535
10,1559901.2757064553
11,1559392.6429790847
12,1559392.6429790847
13,1559392.6429790847
14,1559392.6429790847
15,1559392.6429790847
16,1559392.6429790847
17,1559392.6429790847
18,1559392.6429790847
19,1559392.6429790847
20,1559392.6429790847
21,1559392.6429790847
22,1559392.6429790847
23,1559392.6429790847
24,1559392.6429790847
25,1559392.6429790847
26,1559392.6429790847
27,1559392.6429790847
28,1559392.6429790847
29,1559392.6429790847
30,1559392.6429790847
31,1559392.6429790847
32,1559392.6429790847
33,1559392.6429790847
34,1559392.6429790847
35,1559392.6429790847
36,1559392.6429790847
37,1559392.6429790847
38,1559392.6429790847
39,1559392.6429790847
40,1559392.6429790847
41,1559392.6429790847
42,1559392.6429790847
43,1559392.6429790847
44,1559392.6429790847
45,1559392.6429790847
46,1559392.6429790847
47,1559392.6429790847
48,1559392.6429790847
49,1559392.6429790847
50,1559392.6429790847
51,1559392.6429790847
52,1559392.6429790847
53,1559392.6429790847
54,1559392.6429790847
55,1559392.6429790847
56,1559392.6429790847
57,1565260.0877084103
58,1565139.8485624446
59,1565139.8485624446
60,1565139.8485624446
61,1565139.8485624446
62,1565139.8485624446
