,0
0,1402005.3625579374
1,1402139.2568584457
2,1402934.292444916
3,1403199.060234808
4,1403795.0178639714
5,1403170.3553971485
6,1401659.3283330265
7,1404353.0934302255
8,1403977.4238153237
9,1408226.1563056554
10,1415516.7467130579
11,1407871.7281772976
12,1414679.6041708451
13,1413440.423643902
14,1417046.8608244064
15,1407906.6253736354
16,1408052.843040654
17,1421206.6344101112
18,1420395.8883339562
19,1420650.973310468
20,1428003.229012553
21,1435247.8672929402
22,1432380.6014962627
23,1424919.3473309113
24,1425750.3924769196
25,1425346.3144756577
26,1440178.3495114574
27,1444310.7961840183
28,1437272.0300233942
29,1459492.4909755776
30,1459715.7174281562
31,1466000.220505078
32,1462985.9158791387
33,1471654.2391455579
34,1478744.5876247643
35,1474882.1886665286
36,1475153.3818678423
37,1469394.4607866595
38,1475179.4828458594
39,1471186.4707222795
40,1468683.829425366
41,1464863.5493134058
42,1453024.8345974819
43,1449648.8217018475
44,1473052.9903410608
45,1475612.5538059268
46,1483998.0710826595
47,1484417.7872862127
48,1492152.0736142788
49,1498564.143276272
50,1494715.5614587893
51,1489857.294738735
52,1506409.8608266998
53,1480628.8856264013
54,1481150.3261498597
55,1488946.4028637293
56,1485813.5302205496
57,1490189.7966598615
58,1502386.4273353918
59,1521808.1084328655
60,1507241.2328351825
61,1505734.0098937962
62,1505734.0098937962
