,0
0,1793979.4367799084
1,1794055.1191282854
2,1793915.2277741788
3,1793915.2277741788
4,1793915.2277741788
5,1793915.2277741788
6,1793915.2277741788
7,1793915.2277741788
8,1793915.2277741788
9,1793915.2277741788
10,1793915.2277741788
11,1793915.2277741788
12,1793915.2277741788
13,1793915.2277741788
14,1793915.2277741788
15,1793915.2277741788
16,1793915.2277741788
17,1793915.2277741788
18,1793915.2277741788
19,1793915.2277741788
20,1793915.2277741788
21,1793915.2277741788
22,1793915.2277741788
23,1793915.2277741788
24,1793915.2277741788
25,1793915.2277741788
26,1793915.2277741788
27,1793915.2277741788
28,1793915.2277741788
29,1793915.2277741788
30,1793915.2277741788
31,1793915.2277741788
32,1793915.2277741788
33,1793915.2277741788
34,1793915.2277741788
35,1793915.2277741788
36,1793915.2277741788
37,1793915.2277741788
38,1793915.2277741788
39,1793915.2277741788
40,1793915.2277741788
41,1793915.2277741788
42,1793915.2277741788
43,1793915.2277741788
44,1793915.2277741788
45,1793915.2277741788
46,1793915.2277741788
47,1793915.2277741788
48,1793915.2277741788
49,1793915.2277741788
50,1793915.2277741788
51,1793915.2277741788
52,1793915.2277741788
53,1793915.2277741788
54,1793915.2277741788
55,1793915.2277741788
56,1793915.2277741788
57,1794069.7791595792
58,1794465.8454710955
59,1797330.4651480145
60,1799192.4956768584
61,1803689.6421505394
62,1801630.6967030093
