,0
0,1000000.0
1,999429.8794006044
2,997110.5383018819
3,992037.0830480251
4,990068.9419351425
5,991315.216966125
6,993314.880829514
7,987447.2783747897
8,992511.0628687044
9,984373.7075534886
10,983996.225090441
11,975312.4813972786
12,978982.33079
13,986782.035214785
14,979258.0868054801
15,987498.4791502195
16,979187.8731007483
17,986404.9993842111
18,999181.1773874671
19,997035.0394224259
20,981492.4842843097
21,991068.898714893
22,997534.7827162305
23,991103.9216041837
24,991222.8453078071
25,985603.903668451
26,975863.2698013128
27,965855.7025507918
28,983634.3363915746
29,996263.4295892909
30,1017276.9150057965
31,1015666.493521037
32,1014076.7418097259
33,1027862.3924599577
34,1011767.9182348705
35,1015753.8706720354
36,1025010.7923794293
37,1017734.2677091522
38,1011769.3826710668
39,1035230.8653508644
40,1041114.9809462283
41,1050531.005250774
42,1056133.3262326415
43,1059315.0690057715
44,1050314.5704382998
45,1053254.8214784707
46,1051489.2463094906
47,1063842.1918755614
48,1064166.5983046403
49,1067539.2182091472
50,1076903.054356725
51,1089129.739589355
52,1090105.8272674517
53,1094424.0121113446
54,1092707.1923662617
55,1082958.7102945698
56,1087821.358788525
57,1087277.7425919173
58,1097143.421135756
59,1102587.056006171
60,1101019.4687034197
61,1109273.770557767
62,1103764.5148192062
